scan_nb,x,y,z,mu,delta,omega,gamma,gamma-mu,roi1_sum,roi4_sum,step,integration time,nb of steps,Temp
1337.0,-0.752,2.963,-0.903,18.506,0.326,-55.002,37.938,19.431,52047493.0,53402581.0,0.005,4.0,201.0,102
1343.0,-0.752,2.961,-0.898,18.518,0.326,-55.002,37.938,19.42,37103785.0,38198412.0,0.005,4.0,201.0,0
1353.0,-0.755,2.965,-0.898,18.513,0.326,-55.002,37.938,19.425,26000144.0,26651812.0,0.005,4.0,201.0,0
1373.0,-0.752,2.972,-0.898,18.513,0.326,-55.002,37.938,19.425,26670484.0,29081830.0,0.005,4.0,201.0,0
1378.0,-0.749,2.974,-0.9,18.498,0.326,-55.002,37.938,19.44,11160962.0,11539866.0,0.005,4.0,201.0,57
1387.0,-0.746,2.979,-0.902,18.498,0.326,-55.002,37.938,19.44,20915050.0,21572064.0,0.005,4.0,201.0,75
1390.0,-0.744,2.981,-0.902,18.479,0.326,-55.002,37.938,19.459,25631826.0,26307661.0,0.005,4.0,201.0,75
1407.0,-0.747,2.981,-0.909,18.478,0.326,-55.002,37.912,19.434,4065369.0,4255250.0,0.005,4.0,201.0,125
1410.0,-0.747,2.981,-0.909,18.459,0.326,-55.002,37.912,19.454,21117797.0,21649091.0,0.005,4.0,201.0,125
1414.0,-0.748,2.98,-0.909,18.454,0.326,-55.002,37.912,19.458,27399696.0,28043726.0,0.005,4.0,201.0,125
1471.0,-0.805,2.971,-0.943,18.416,0.293,-55.003,37.911,19.495,41217518.0,42245805.0,0.005,4.0,201.0,125
1483.0,-0.807,2.971,-0.942,18.416,0.293,-55.003,37.911,19.495,81989138.0,83758840.0,0.005,4.0,201.0,125
1488.0,-0.799,2.979,-0.942,18.416,0.275,-55.003,37.911,19.495,33335869.0,34889928.0,0.005,4.0,201.0,125
1496.0,-0.798,2.981,-0.945,18.416,0.267,-55.003,37.911,19.495,29694784.0,30641320.0,0.005,4.0,201.0,175
1499.0,-0.799,2.981,-0.945,18.416,0.267,-55.003,37.911,19.495,49347539.0,50594116.0,0.005,4.0,201.0,175
1502.0,-0.799,2.981,-0.945,18.416,0.267,-55.003,37.911,19.495,13133983.0,13641889.0,0.005,4.0,201.0,175
1528.0,-0.801,2.981,-0.952,18.378,0.241,-55.003,37.564,19.186,37954562.0,28916640.0,0.005,4.0,201.0,225
1531.0,-0.8,2.982,-0.952,18.378,0.241,-55.003,37.564,19.186,29738406.0,21552174.0,0.005,4.0,201.0,225
1534.0,-0.803,2.98,-0.952,18.378,0.241,-55.003,37.564,19.186,37333562.0,28215232.0,0.005,4.0,201.0,225
1560.0,-0.805,2.983,-0.966,18.362,0.235,-55.003,37.536,19.174,37441976.0,28244176.0,0.005,4.0,201.0,325
1563.0,-0.805,2.983,-0.966,18.362,0.235,-55.003,37.536,19.174,35629671.0,27058988.0,0.005,4.0,201.0,325
1566.0,-0.807,2.983,-0.966,18.362,0.235,-55.003,37.536,19.174,29921010.0,22115142.0,0.005,4.0,201.0,325
1585.0,-0.808,2.983,-0.98,18.343,0.224,-55.003,37.493,19.15,37203656.0,26630565.0,0.005,4.0,201.0,425
1588.0,-0.807,2.985,-0.98,18.343,0.224,-55.003,37.493,19.15,51913063.0,38086898.0,0.005,4.0,201.0,425
1591.0,-0.806,2.986,-0.98,18.344,0.224,-55.003,37.493,19.15,5913553.0,4104602.0,0.005,4.0,201.0,425
1619.0,-0.806,2.987,-0.995,18.324,0.224,-55.003,37.465,19.141,41828223.0,16373079.0,0.005,4.0,201.0,525
1622.0,-0.806,2.987,-0.995,18.324,0.224,-55.003,37.465,19.14,8992181.0,4488290.0,0.005,4.0,201.0,525
1651.0,-0.809,2.987,-1.002,18.308,0.217,-55.003,37.445,19.137,34162475.0,21077966.0,0.005,5.0,201.0,575
1654.0,-0.81,2.987,-1.002,18.308,0.217,-55.003,37.445,19.137,64487934.0,40467558.0,0.005,5.0,201.0,575
1672.0,-0.812,2.987,-1.002,18.328,0.217,-55.003,37.445,19.117,54802869.0,38770048.0,0.005,5.0,201.0,575
1675.0,-0.814,2.985,-1.002,18.328,0.217,-55.003,37.445,19.117,59987136.0,45056406.0,0.005,5.0,201.0,575
1678.0,-0.814,2.984,-1.002,18.328,0.217,-55.003,37.445,19.117,50173796.0,36762832.0,0.005,4.0,201.0,575
1689.0,-0.817,2.983,-1.002,18.39,0.217,-55.003,37.445,19.055,2599305.0,852742.0,0.005,5.0,201.0,575
1756.0,-0.878,2.934,-1.001,18.17,0.174,-55.003,37.445,19.275,20414821.0,13075625.0,0.005,4.0,201.0,575
1759.0,-0.877,2.935,-1.001,18.156,0.174,-55.003,37.445,19.289,26140115.0,17061617.0,0.005,4.0,201.0,575
